article_id, text, id, l/m, wave, subj_id, user_id, q1, q2, q3, q4, q5, q6, q7, q8, q9, q10, q11, q12
"U2a", "The story is about bacteria and theraphy, but I do not remember specific information.", "150", "L1", "3", "user03", "1", "1", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U2a", "since some infections have because resistant to antibiotics researchers have started looking for new methods for treating infections. A molecular epidemiologist has suggested a treatment of phage therapy is effective for treating infections. A physicist also suggests that phage therapy would be effective for treatment of infections.", "151", "M2", "1", "user04", "1", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "1"
"U2a", "Some bacterias have become resistant to cures, so new methods are being looked in to. Both a physicist and biologist believe phage therapy is a good alternative to common medicine.", "152", "M2", "2", "user05", "1", "4", "2", "2", "0", "0", "1", "1", "2", "0", "0", "1", "1"
"U2a", "new bacteria exists that is immune to antibiotics. both a physicist and biologist agreed phage theory is good for treating common forms.", "153", "M2", "3", "user06", "1", "4", "2", "2", "0", "0", "1", "1", "2", "0", "0", "1", "1"
"U2a", "Since some viruses are antibiotic resistant due to the overuse of antobiotics in society, some experts suggest using phage therapy to attack those bacteria.", "154", "M3", "1", "user07", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U2a", "Since some viruses are antibiotic resistane due to the overuse of antibiotics in society. Some experts are suggesting using phage therapy to attack those viruses.", "155", "M3", "2", "user08", "1", "4", "0", "3", "1", "1", "1", "1", "3", "1", "1", "1", "1"
"U2a", "since some viruses are antibiotic due to the overuse of antibiotics in society. some are suggesting phage treatment to attack these viruses
", "156", "M3", "3", "user09", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U2a", "Due to an overuse of antibiotics in our society, bacteria have developed a resistance to them. Phages are being considered as a treatment for bacterial infections. Two doctors are in support of this decision. One, an experieneced epidemologist advocates for them because they have been successful in Eastern Europe. Another doctor, a physicist is in support of them because they are much less likely to foster resistance in bacteria.", "157", "L4", "1", "user10", "1", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"U2a", "Due to overuse in our society, bacteria have grown immunities to antibiotics. Many experts believe in using phages to combat this. It has recieved much support.", "158", "L4", "2", "user11", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"U2a", "Due to overuse in our society, antibiotics have caused bacteria to develop many immunities. Experts advocate for the use of phages to combat this. The idea has received much support.", "159", "L4", "3", "user12", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"F3b", "Mumps is a contagious disease caused by the mumps virus.  it can be prevented with the MMR vaccine, which stands for measles, mumps and rubella.  a child recieves two MMR doses- the first at one-year old and the second at four-years old.  Dr. White, a virologist and expert on MMR vaccines say they are effective in preventing these dangerous diseases. Dr. Moore, an ecologist who is not an expert on vaccines, is against the use of vaccines, because the risks, such as severe allergic reactions, far outweigh the benefits.", "197", "M1", "1", "user01", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F2b", "Stem cells are cells that can replicate indefinitely and can help rebuild certain types of tissues. An expert in the field states this is benecial and can  identify abnormalities in a cell, a non expert states it is not beneficial because it can cause cancer.", "189", "L2", "3", "user06", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U1c", "Thorium is a new element in the nuclear world that could replace Uranium. The thing is that it releases more electrons and protons than Uranium. A bigger shield would need to be built. An expert says that we shouldn't use Thorium because of this. Another expert of biology says that we shouldn't use it because it is not as efficient as Uranium.", "219", "L8", "3", "user24", "1", "4", "2", "0", "0", "0", "0", "1", "0", "0", "0", "0", "1"
"U2c", "Because many diseases are resistant to antibiotics, many doctors believe that phage therapy is a solution. However, experts and non-experts alike believe that it is both dangerous and expensive.", "225", "M6", "3", "user18", "1", "4", "2", "0", "0", "0", "0", "1", "1", "0", "0", "0", "0"
"U2c", "So since some viruses are now antibiotic resistant thanks to the overuse of antibiotics, a new idea called phage therapy is coming into the spotlight to help treat disease. Moore, the expert and epidemiologist, does not like the idea, saying that the ohages could produce toxins in the body that are harmful to humans. Wilson, the pharmacist and non-expert, also protests the concept, saying it is far too specific to use efficently.", "229", "L8", "1", "user22", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F2b", "A stem cell is a generic cell that can grow in the form of specialized tissue, such as in the heart. Dr. King, a genetecist supports stem cell research and use in human medical transplants. Dr. Harris, a non-expert, claims that the use of stem cells is dangerous and may cause tumors to grow if not handled and placed correctly. ", "481", "M20", "1", "user58", "2", "4", "2", "0", "0", "0", "0", "1", "1", "0", "0", "0", "0"
"F3b", "Mumps is a contagious disease that can be prevented with the MMR vaccine, which protects against measles, mumps, and rubella.  Two doses are given: one at one-year old and one at four-years old.  Dr. White, a virologist, advocates for the vaccine, since it prevents the spreading of contagious diseases.  A non-expert in the field believes that the risks of an allergic reaction to the injection far outweigh the benefits.", "484", "M17", "1", "user49", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U1c", "New research is being conducted on thorium, an element that may be able to replace uranium in the chemical world. In order to use thorium in this way, thorium reactors will need to be used, which has been met with opposition from two professionals in the field. One doctor states that with the number of neutrons, it will not be possible. The other maintains that thorium is more dangerous than uranium, and therefore should not be used.", "499", "M22", "1", "user64", "2", "4", "2", "0", "0", "0", "0", "1", "0", "0", "0", "0", "0"
"U1c", "Thurium is an element used as a substitute for Uranium in nuclear reactors. Scientists are against thurium due to the higher neutron leak. Other scientists are also agianst the usage of thurium. ", "506", "L24", "2", "user71", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "1", "1"
"F1b", "Genetically Modified Organisms (GMOs) are a product of genetic cross breeding of animals, plants, bacteria and viruses. An expert in the field of GMOs states that they can solve the world's food shortage, while an ecologist who is not an expert on GMOs states they will hurt ecosystems' biodiversity. ", "176", "L2", "2", "user05", "1", "2", "2", "0", "1", "1", "0", "0", "1", "1", "1", "0", "0"
"F2d", "Stem cells can be used to reproduce themselves or specialized cells. Some experts said some effect would be dangerous if stem cells are not cultured first, while some non-experts said it is not if taking mutation into account.
", "257", "M5", "2", "user14", "1", "4", "2", "0", "1", "1", "0", "0", "1", "1", "1", "0", "1"
"U1c", "Thurium is a substitute element being used in nuclear energy.
Urnium is another element in nuclear energy. Some scientists are against thurium beacuse it contains too much nuclear leak. 
Other scientists are also against it ", "507", "L24", "3", "user72", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "1", "1"
"U2c", "Ever since the use of antibiotics, the resistance of antibiotics is growing, and people are now starting to look towards phage therapy as an alternative. Phage therapy includes the inejction of bacteria into the body. Doctors are against this type of treatment, saying that it could introduce new bacterial toxins in the body that could be potentially harmful. Doctors also say that this type of treatment is more expensive and harder to administer than antibiotics.", "514", "M23", "1", "user67", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"U3c", "Bioremediation is a process that allows for decontamination of soil and other factors in the ecosystem. It uses living organisms to do this. One doctor, an expert on bioremediation, opposes it because of the harmful risks it poses. Another, a doctor who does not specialize in bioremediation, also opposes it, but because of the lack of control one has in determining where bacteria will go.", "523", "M22", "1", "user64", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1b", "Genetically modified organisms (GMOs) are products of genetic cross breeding of insects, animals, bacteria, and viruses. An expert in the field of GMOs believes that GMOs are the solution to the world's food shortage. An ecologist, a non-expert in the field believes that GMO are a danger to the environment because they could potentially destroy ecosystem biodiversity.", "175", "L2", "1", "user04", "1", "2", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1d", "GMOs are genetically modified organisms that are not naturally produces. one crop expert opposes them because ot could harm other organisms. one virologist supports gmos because it could stop the world food shortage. ", "532", "M21", "1", "user61", "2", "4", "2", "0", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"F1d", "Genetically modified organisms (GMOs) are organisms that have been modified in such a way that would not occur in nature, whether by mating or otherwise. The modifications come from genes in other organisms, such as bacteria, viruses, insects and animals. One doctor, who specializes in GMOs, believes that using them is ultimately harmful and results in lower biodiversity. Another, who is not an expert in GMOs, argues that GMOs is the solution for worldwide hunger.", "535", "L22", "1", "user64", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F2d", "stem cells are the cells that can divide infinitely and diffefrentiate into more specialized cells like heart, lung and muscles. Dr. King who studies stem cells is aginst use of them, because he thinks that those cells if not planted and controled well, may lead to tumors and keep growing. Dr. Harris, who is not an expert in this area, supports the use of stem cells, since they might provide useful information about ways to control excessive cell division and cancer.", "553", "M24", "1", "user70", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "1"
"F3d", "MMR vaccine, virologist Dr against vaccine, ecologist Dr for vaccine", "275", "L7", "1", "user19", "1", "2", "2", "2", "0", "0", "1", "1", "2", "0", "0", "1", "1"
"F1d", "gmo have altered some outside organisms wich as viruses. detractors says the gmos can harm the environment by hurting biodiversity ", "246", "M5", "3", "user15", "1", "2", "1", "2", "0", "0", "0", "0", "3", "2", "2", "2", "2"
"F1d", "GMO are genetically modified organisms, which means that an organism has been modified in a way that genetic recombination or reproduction can not produce. The genes for this can come from plants, animals, or viruses. Dr. Lewis, a crop ecologist and expert on GMOs is against it, because he says it can hurt other organisms in an environment and lower biodiversity. Dr. Hall, a virologist and not an expert, says the GMOs are great and could possibly end world hunger.", "253", "M8", "1", "user22", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1f", "This article was about using GMO on plants. The GMO was created artificially. The scientist said that the GMO would require less water. Others said that the GMO would help the plants grow.", "324", "L11", "3", "user33", "1", "4", "2", "2", "1", "1", "0", "1", "2", "1", "1", "0", "1"
"F2d", "Stem cells have the ability to reproduce multiple times, and they can be used for various organs in the human body, such as heart tissue. However, the use of stem cells is controversial. Dr. King, a geneticist who is an expert in stem cell research, maintains that it should not be conducted because of the risk of tumors being developed. Dr. Harris, a chemist who is not an expert in the area, argues that stem cell research can be extremely beneficial for scientists to learn more about what causes tumors to grow and cancer to develop.", "547", "L22", "1", "user64", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F3d", "Mumps, a dangerous illness, can be prevented with the MMR vaccine, which also protects children against measles and rubella. Typically, the vaccine is administered in two doses, at the age of 1 and 4 years old. A virologist who specializes in this area has stated that the vaccine's risks outweigh the benefits; for example, there is a possibility of allergic reaction to this vaccine. Another doctor, who does not have expertise in this field, argues that the vaccine can and should be used in an effort to protect against such a dangerous disease.", "559", "L22", "1", "user64", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1d", "An article about GMO, one scientist disproves of GM technologies, another scientist approves of GM technologies, the article doesn't explain what GM technology is", "252", "L7", "3", "user21", "1", "2", "2", "2", "0", "0", "1", "1", "2", "0", "0", "1", "1"
"U2g", "Since some infections are being more resistant due to the overuse of antibiotics in society, Dr ____", "373", "L16", "1", "user46", "1", "0", "1", "2", "1", "1", "1", "1", "3", "2", "2", "2", "2"
"F2d", "Stem cells are cells that can reproduce new cells indefinitely. They help create new speciallized tissues in the body. Again, two people disagree. Dr. King, who is an expert with stem cells, says they are dangerous and could cause cancers if used in a certain way. Dr. Harris, a chemist and not an expert on stem cells, said that it could help us study why cells mutate or why certain cellular diseases occur.", "265", "M8", "1", "user22", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F3d", "Mumps is a disease. They made a vaccine, MMR, which prevents mumps, measels and rubella. The shots are administered to kids twice, once at age 1 and the other at age 4. Shockingly again, two people decide to argue over something. One is a doctor who is an expert on vaccines, but he says he doesnt like this new MMR vaccine because of the risks outweighing the benefits. An ecologist supports the vaccine, but hey, he is not an expert. Still he thinks it could help keep kids healthy.", "277", "M8", "1", "user22", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "1", "1"
"U1e", "There is current research being done on a new element, thorium.  Thorium is being studied as a replacement to uranium in nuclear power plants.  Molecules that escape the reaction vessel can no longer participate in fission and must be captured by a protective covering.  Dr. X is a leading expert in the field and supports the use of thorium because it is more efficient and environmentally friendly than uranium.  However, Dr. X, also a biology professor...........I can't remember the rest.", "280", "L9", "1", "user25", "1", "4", "2", "0", "0", "0", "0", "1", "2", "1", "1", "1", "1"
"F3f", "measles is a serious condition, and the MMR vaccine can help prevent it. Dr. White reccomends this vaccination.", "350", "M12", "2", "user35", "1", "4", "1", "2", "0", "0", "1", "1", "3", "2", "2", "2", "2"
"U1e", "research is being done on a new element called thorium. it could replace uranium in the nuclear world. scientists say that it is safer than uranium.", "576", "M27", "3", "user81", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "1", "0", "1"
"U1e", "There is research being done on thorium, an element that may replace uranium in nuclear endevours. One expert says this will be good, another non-expert says this is bad.", "577", "L28", "2", "user83", "2", "4", "2", "0", "0", "0", "1", "1", "1", "0", "0", "1", "1"
"U2g", "since some viruses are become more resistant due to the overuse of antibiotics, Dr ___", "374", "L16", "2", "user47", "1", "0", "1", "2", "1", "1", "1", "1", "3", "2", "2", "2", "2"
"F3h", "MMR Vaccine helps prevent three things: Measles, Mumps, and Rubella. Doctor is opposed, saying that a severe allergic reaction is much worse.", "421", "M16", "1", "user46", "1", "4", "1", "2", "0", "0", "0", "0", "3", "2", "2", "2", "2"
"U2e", "due to the overuse of antibiotics, antibiotic resistance is becoming a huge issue. dr moore advocates phage therapy to combat antibiotic resistance. phage therapy has been used successfully in europe. however, there are some scientists that oppose phage therapy, such as dr wilson. dr wilson states that phage therapy ...", "583", "M26", "1", "user76", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "1", "1"
"U3a", "Bioremediation is a process that cleans up organisms from the soil. Dr. Harris supports this process and so does Dr. Anderson who thinks that it is good for the soil.", "455", "L20", "2", "user59", "2", "1", "2", "2", "0", "0", "1", "1", "2", "0", "0", "0", "1"
"F2h", "A stem cell is a generic cell that can make copies of itself indefinitely.", "409", "M16", "1", "user46", "1", "4", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"F2f", "Stem cells are cells that can multiply indefinitely. They have been used in medical settings. Dr. Lewis, a geneticist states that stem cell research can help us fight cancer and understand why cells are multiplying abnormally. Dr. Hall, who is not an expert in the field agrees, stating stem cells can help us learn how genetics work in the early stages of development.", "619", "L26", "1", "user76", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F3h", "There is a vaccine that can treat MMR: mumps, measles, and rubella. A child would take it at ages 1 and 4 for vaccination. Dr. White, a biologist and expert on vaccines, opposes the vaccines as the possible side effects, such as an extreme allergic reaction, far outweight the benefits. Dr. Blair, an ecologist and not an expert on vaccines, also opposes the vaccine as it could have other harmful health concerns.", "415", "L14", "1", "user40", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "1"
"F3h", "is a contagious disease that is treated by MMR. It is associated with mumps and measles. It is administrated twice at the age if two and four. Virologists are against this treatment.", "420", "L15", "3", "user45", "1", "4", "1", "2", "0", "0", "1", "1", "3", "2", "2", "2", "2"
"U3e", "Bioremediation is a proccess that removes toxins from soil. One expert says this is a worthy proccess. Another person opposes it because more toxins may be created through the process of bioremediation itself.", "603", "L28", "3", "user84", "2", "4", "2", "0", "0", "0", "1", "1", "2", "0", "0", "0", "0"
"F1f", "GMOs are genetically modfied organisms that do not come from natural sources.  Dr Lewis, an expert geneticist, supports gmos as a way of solving the world hunger shortage.  Dr. Hall, a nonexpert, also supports the research for different reasons.", "604", "M25", "1", "user73", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "1", "1"
"F1d", "GMO's are organisms that are modified in a way that is not natural. Supporters of GMO's say that they are the answer to food shortages. Opponents of GMO's say that they will cause lower levels of biodiversity. ", "248", "L6", "2", "user17", "1", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"F1d", "GMO's are organisms that are modified in a way that is not natural. Supporters of GMO say that it is the answer to food shortage. Opponents of GMO say that it will lower the levels of biodiversity.", "249", "L6", "3", "user18", "1", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
"F1d", "Article about GMO, one scientist opposes GM technologies, one approves of GM technologies, no mention of what GM technology is", "250", "L7", "2", "user20", "1", "2", "2", "2", "0", "0", "1", "1", "2", "0", "0", "1", "1"
"F1f", "Genetically Modified Organisms (GMOs) are food sources that have been modified by something other than sexual reproduction or recombination. This can be due to viruses and bacteria. Dr. Lewis, an ecologist and expert in the field, supports GMO food products, stating they are the solution to the world's food shortage. Dr. Lewis, a virologist, and not an expert in the field, agrees.", "607", "L26", "1", "user76", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "1", "1"
"U2e", "Due to the overuse of antibiotics in today's society, many baterial infections have become immune to antibiotic medications.  One such solution to this problem is the phage theory.  Dr. Wilson, an epidiemeologist and expert in phage theory, supports the phage theory because it has been used in a number of Eastern European countries for many years with great success.  Dr. Moore, physicist and not an expert in phage theory, does not support phage theory because he believes it will lead to unexpected mutations that will lead to dangerous superbacteria.", "292", "L9", "1", "user25", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1d", "Genetically modified organisms, or GMO's, are orgaisms in which thier DNA is modified and inserted into other organisms.", "539", "L23", "3", "user69", "2", "1", "0", "3", "2", "2", "2", "2", "3", "2", "2", "2", "2"
"F1d", "Article about GMO's, one scientist opposes GM technology, one approves of GM technology, no mention of what GM technology is", "251", "L7", "1", "user19", "1", "2", "2", "2", "0", "0", "1", "1", "3", "0", "0", "1", "1"
"U2e", "Use of antibiotics in society is increasing risk of bacteria that are resistent to antibiotics. Phage therapy is a new method for terating bacterial infections. A molecular epidemiologist and expert in phage therapy claims that phage therapy is a good method for treating bacterial infections. A 
physicist and non-expert in phage therapy claims that phage therapy may be harmful to humans", "301", "L12", "1", "user34", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"U3e", "Bioremediation is a new and alternative way to recycle natural occuring resources within the environment.  Bioremediation can add nutrients to the soil, extract ground water, and even help provide cleaner drinking water.  Dr. Harris, an expert in bioremediation, supports the use of bioremediation because of the sustainable and environmentally friendly approach that it provides.  Dr. Anderson, a chemist, is not an expert in bioremediation and is against bioremediation because of the possibility of harmful chemical byproducts.", "304", "L9", "1", "user25", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F1f", "genetically modified organisms (GMO) is an organsim that has been scientifically altered/changed in a way that didn't happen naturally.  these can be modified with new genetic information, viruses, and other chemicals. an expert (in GMOs ; virologist) says GMO will help with "food shortage." a non expert agrees, saying GMOs will help because they can be engineered to need less water.", "325", "M12", "1", "user34", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F2f", "Stem cells are a genetic cell in the body.  They have the ability to create a variety of different cells, such as heart or brain tissue. Recent research has been conducted exploring the use of stem cells.  Dr  King, geneticist and expert in stem cells, supports their usage because he believes stem cells can give scientists insight into why certain cells may mutate and cause cancer. Dr  Harris, a chemist and non-expert in stem cells, also supports the research because he believes it to provide valuable evidence as to why certain cells develop the way they do.", "328", "M9", "1", "user25", "1", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0"
"F2b", "Stem cells can develop into any other specialized cell. Dr Harris believes in Stem and is an expert in the field and a geneticist. Dr King opposes the use of Stem cells despite having no expertise in it. He believes that they will cause cancer.", "193", "M4", "1", "user10", "1", "4", "2", "0", "0", "0", "1", "1", "1", "0", "0", "0", "0"
"F3f", "This article was about the MMR vaccine for measles, rubella, and one other.  One expert says the vaccine is needed to fight off these dieasses but someone with a Ph. D. in another field says that 99% of these dieasses have gone down.", "347", "L11", "2", "user32", "1", "2", "2", "0", "0", "0", "0", "1", "1", "0", "0", "0", "0"
"F3f", "This article was about the MMR vaccine, against mumps, measles, rubella, and "one other". The advocate of the article said that it will make the diseases go down in frequency. The person who did not advocate for the article had a PhD and said that 99% of the disease cases would not go down in frequency.", "348", "L11", "3", "user33", "1", "2", "2", "2", "0", "0", "0", "0", "0", "0", "1", "0", "1"
"U2g", "antibiotics are becoming weaker due to overuse and therefore the phage treatment can stop most bacterial viruses, however, this theory is dangerous to humans. Dr. Willson said that this theory has been succesful in Eastern Europe for a few years now. ", "364", "L13", "1", "user37", "1", "4", "1", "2", "0", "0", "0", "0", "3", "2", "2", "2", "2"
"U3c", "bioremediation, two scientists oppose for potential contamination to usable material", "240", "M7", "3", "user21", "1", "2", "2", "2", "0", "0", "0", "0", "2", "0", "0", "1", "1"
"F2f", "Stem cells are cells that make identical copies of themselves. Dr. King, an expert in stem cell research, says that stem cell research is beneficial because it can help us learn more about when cells do not regenerate properly in conditions like cancer. Dr. Hamptom, a chemist and non-expert on stem cell research, supports stem cell research for similar reasons.", "627", "M28", "1", "user82", "2", "4", "2", "0", "0", "0", "0", "0", "1", "0", "0", "1", "1"
"F3f", "Mumps is a contagious disease caused by a virus. There is an MMR vaccine which covers mumps, rubella etc. A virologist says that the vaccine is safe and an ecologist says that there has been 99% decrease in mumps. The vaccine is administered in 2 doses, one when the child is 2 and the other when the child is 4.", "634", "L27", "2", "user80", "2", "4", "2", "2", "0", "0", "0", "0", "2", "0", "0", "0", "0"
