user,l/m,article id,participant id,wave
user15,L5,U3c,"Microbes are used to help clean the environment. Some experts said that it is non toxic but other non experts were not so sure, as you can't know where the microbes go.",3
user13,M5,F1d,"GMOs have altered genes from outside sources, such as viruses. An expert opposes them because they could be harmful to humans, biodiversity, and the environment. A non expert says they are the solution to world hunger.",1
user14,M5,F1d,"GMO has altered the genes of outside organism such as virus. Some expert oppose it because it is bad for human, biodiversity and the environment, while non-experts support GMO saying that it helps solve the problem of world hunger.",2
user15,M5,F1d,gmo have altered some outside organisms wich as viruses. detractors says the gmos can harm the environment by hurting biodiversity ,3
user13,M5,F2d,Stems cells can indefinitely make copies of themselves and specialized cells. An expert warns of their carcinogenic effects if implanted without culturing first. A nonexpert supports them for their insights into cell mutations and carcinogens.,1
user14,M5,F2d,"Stem cells can be used to reproduce themselves or specialized cells. Some experts said some effect would be dangerous if stem cells are not cultured first, while some non-experts said it is not if taking mutation into account.
",2
user15,M5,F2d,stem cells can be used to repair a variety of problems,3
user13,M5,F3d,"An expert on vaccines opposes the mmr vaccine because the risks outweigh the benefits, but a nonexpert claims it is totally safe and important for the community as a whole.",1
user14,M5,F3d,"A vaccine expert opposes mmr vaccine because the risks outweight its benefits, while some non-experts said it is totally safe and good for the community.",2
user15,M5,F3d,"a vaccine expert opposes mmr vaccine because the risks outweigh the benefits, while a non expert sees no problem woth the vaccine",3
user25,L9,U1e,"There is current research being done on a new element, thorium.  Thorium is being studied as a replacement to uranium in nuclear power plants.  Molecules that escape the reaction vessel can no longer participate in fission and must be captured by a protective covering.  Dr. X is a leading expert in the field and supports the use of thorium because it is more efficient and environmentally friendly than uranium.  However, Dr. X, also a biology professor...........I can't remember the rest.",1
user26,L9,U1e,"There is a new element being researched, thorium. Thorium is an alternative to uranium. Molecules that can't escape the reaction vessel during fission must be captured. Dr. X, an expert on thorium, is in favor of the element. Dr. X, who is a biologist... I can't remember the rest.",2
user27,L9,U1e,"There is a new element being researched, thorium. Thorium is an alternative to uranium. ",3
user25,L9,U2e,"Due to the overuse of antibiotics in today's society, many baterial infections have become immune to antibiotic medications.  One such solution to this problem is the phage theory.  Dr. Wilson, an epidiemeologist and expert in phage theory, supports the phage theory because it has been used in a number of Eastern European countries for many years with great success.  Dr. Moore, physicist and not an expert in phage theory, does not support phage theory because he believes it will lead to unexpected mutations that will lead to dangerous superbacteria.",1
user26,L9,U2e,"Due to the overuse of antibiotics, many bacterial infections have become immune to antibacterial vaccines. One solution to this problem is phage theory. Dr. Moore, an expert in phage theory, is in favor of it because he has seen it work in many Eastern European countries. Dr., a physicist and not an expert in phage theory, is agaisnt it. ",2
user27,L9,U2e,"Due to the overuse of antibiotics, bacteria have become resistant to certain forms of treatment. One solution is phage theory. Dr. Moore, an expert in phage theory, is in support of phage because he has seen it work in Eastern European countries. A nameless Ph.D who is not an expert in phage does not support it.",3
user25,L9,U3e,"Bioremediation is a new and alternative way to recycle natural occuring resources within the environment.  Bioremediation can add nutrients to the soil, extract ground water, and even help provide cleaner drinking water.  Dr. Harris, an expert in bioremediation, supports the use of bioremediation because of the sustainable and environmentally friendly approach that it provides.  Dr. Anderson, a chemist, is not an expert in bioremediation and is against bioremediation because of the possibility of harmful chemical byproducts.",1
user26,L9,U3e,"Bioremediation is a new way of recycling natural occuring resources within the environment. Bioremediation can add nutrients to the soil. Dr. Harris, an expert in bioremediation, is in favor of it because of its benefits. Dr., who is not an expert in bioremediation, is against it because of the potential for chemical byproducts.",2
user27,L9,U3e,Bioremediation is a new way of recycling naturally produced resources. Bioremediation adds nutrients to the soil. Dr. Harris is in favor of bioremediation because of its benefits. Some other nameless Ph.D. is not in favor of it and is ignorant of its benefits.,3
user25,M9,F1f,"Genetically modified organisms (GMOs) are organisms which are modified in a way that does not occur naturally through mating and/or genetic recombination. These modifications can be made by viruses, bacteria, or other methods. Dr. Lewis, an ecologist and GMO expert, supports the use of GMOs because he believed that it will help to solve the global food shortage. Dr. X a, virologist and not a GMO expert, also supports the use of GMOs because they use less water than raising food naturally.",1
user26,M9,F1f,"Genetically Modified Organisms (GMO's) are organisms that have been modified not through mating and/or reproduction. They are modified through bacteria, viruses, or some other method. Dr., an expert in GMO's, is in favor of them because he belives they will help stop the global food shortage. ",2
user27,M9,F1f,"GMOs are organisms that have been modified not by mating or reproduction but by bacteria or viruses. A nameless Ph.D who is an expert in GMOs believes that they are crucial to the sustainability of humans.
",3
user25,M9,F2f,"Stem cells are a genetic cell in the body.  They have the ability to create a variety of different cells, such as heart or brain tissue. Recent research has been conducted exploring the use of stem cells.  Dr  King, geneticist and expert in stem cells, supports their usage because he believes stem cells can give scientists insight into why certain cells may mutate and cause cancer. Dr  Harris, a chemist and non-expert in stem cells, also supports the research because he believes it to provide valuable evidence as to why certain cells develop the way they do.",1
user26,M9,F2f,"Stem cells are a gentic cell in the body. They have the ability to regenerate other cells, such as heart or brain tissue. Much research has been conducted on the use of stem cells. ",2
user27,M9,F2f,"Stem cells are a genetic cell in the body, which can be used to generate new heart or brain cells. Lots of research has gone into studying stem cells.",3
user25,M9,F3f,"Mumps is a deadly disease caused by a virus. Mumps can be prevented by the MMR vaccine, which protects against 3 types of the disease: measels, mumps, and rubella. The vaccine is usually administered in two doses, when a child is one and four years old. Dr. White, an ecologist and expert in the field, supports the vaccine because it will lead to fewer out breaks of the disease. Dr. Blaire, a non-expert, also supports the vaccine because compared to the last century it has led to a 99% decrease in the occurance of mumps.",1
user26,M9,F3f,"Mumps is a deadly disease caused by a virus. Mumps can be prevented by the MMR vaccine which prevents 3 forms of the disease- measels, mumps, and rubella. The vaccine is usually given in 2 doses, 1 when a child is one year old and another when a child is 4 years old. Dr. White, an ecologist and expert in the field, is in favor of the vaccine.",2
user27,M9,F3f,"Mumps is a disease caused by a virus which can be treated with the Measels, Mumps, and Rubella vaccine. The vaccine is given in two doses, once when a child is 1, and another time when the child is 4. Dr. White, an expert in vaccines, is in favor of vaccines.",3
user37,L13,U1g,"Thorium is a safer alternative to uranium, and Dr. Johnson said it should not be used since it has a lot of neutron leaks, although a different, non-expert, said that it should be used because it is a safer alternative.",1
user38,L13,U1g,"Thorium is a safer alternative to uranium, but Dr. Johnson says that it can be more harmful. A non-expert says that it is still the safer alternative.",2
user39,L13,U1g,"Thorium is a safer alternative to Uranium, but the Doctor says that it can be more harmful.  A non expert says that it is safe. ",3
user37,L13,U2g,"antibiotics are becoming weaker due to overuse and therefore the phage treatment can stop most bacterial viruses, however, this theory is dangerous to humans. Dr. Willson said that this theory has been succesful in Eastern Europe for a few years now. ",1
user38,L13,U2g,Antibiotics are becoming weaker over time and the phage treatment is suggested to be used. Dr. Wilson says that the treatment is safe if used over time and some uses of the treatment are currently implemented in Eastern Europe.,2
user39,L13,U2g,"Antiboddies are becoming an issue, Dr. Wilson says that the phage treatment can be used and is safe over time.",3
user37,L13,U3g,"biomediration can help remove certain bad products from the soil, although it can turn into another toxic by-product.",1
user38,L13,U3g,"Biomediration can remove certain bad products from the soil, although it can also produce another toxic byproduct.",2
user39,L13,U3g,"Biomediration can remove certain bad products from the soil, although it can also produce some toxins.
",3
user37,M13,F1h,"Genetically modified organisms can help the plants grow, however, Dr. lewis and another doctor oppose this because it can take away a food source for some animals.",1
user38,M13,F1h,"genetically modified organisms can help plants grow, but Dr. Lewis and another doctor argue that it could remove a food source for some animals.",2
user39,M13,F1h,"genetically modified organisms can help plants grow, but Dr. Lewis and other doctos argues that it can remove a food source for other animals.",3
user37,M13,F2h,Dr. King and Dr. Harris oppose stem cell research since the human body may not accept implanted cells and cause tumors along other problems  ,1
user39,M13,F2h,"Dr. King and Dr. Harris are supporting Stem cell research, because it would help other research create new research.",3
user38,M13,F2h,Dr. King and Dr. Harris are supporting stem cell research since it would help other studies and produce new research.,2
user37,M13,F3h,Dr. Blair and Dr. White say that the MMR vaccine's risks far outweigh the benifits and oppose the shot  ,1
user38,M13,F3h,Dr. Blair and Dr. White say the MMR vaccine's risks far outweigh the benefits ,2
user39,M13,F3h,Dr. Blair says the MMR vacines wrisks far outweighs the benefits.,3
